alamat,jk,lb,lt,harga
Ngamprah,4.0,240.0,162.0,1200.0
Gegerkalong,4.0,200.0,117.0,1200.0
Buahbatu,2.0,40.0,84.0,1202.0
Cijerah,3.0,81.0,58.0,975.0
Jatinangor,7.0,474.5,164.0,5500.0
Regol,2.0,85.0,70.0,710.0
Margaasih,2.0,60.0,72.0,425.0
Garuda,4.0,400.0,400.0,5500.0
Rancaekek,2.0,36.0,60.0,349.0
Kiaracondong,5.0,350.0,283.0,2500.0
Cibiru,4.0,156.0,160.0,3200.0
Buahbatu (Margacinta),2.0,40.0,84.0,1100.0
Bandung,3.0,60.0,108.0,1100.0
Bandung,2.0,45.0,65.0,665.0
Cikutra,5.0,160.0,294.0,3200.0
Margaasih,2.0,70.0,105.0,1500.0
Pasteur,7.0,323.0,250.0,3250.0
Cimenyan,3.0,120.0,110.0,1095.0
Sumur Bandung,6.0,450.0,405.0,6466.5
Cikutra,7.0,180.0,177.0,3300.0
Sarijadi,6.0,200.0,154.0,3200.0
Cijerah,4.0,147.0,77.0,1750.0
Buahbatu,3.0,85.0,60.0,1100.0
Katapang,2.0,36.0,36.0,160.0
Padalarang,2.0,51.0,91.0,1000.0
Cibaduyut,4.0,300.0,105.0,3125.0
Bandung,3.0,145.0,95.0,1100.0
Cijerah,3.0,150.0,108.0,2000.0
Padalarang,4.0,315.0,144.0,3100.0
Padalarang,4.0,250.0,198.0,3100.0
Setiabudi,4.0,180.0,291.0,3495.0
Antapani,7.0,400.0,405.0,3200.0
Sindanglaya,2.0,36.0,114.0,617.0
Baleendah,2.0,45.0,86.0,550.0
Antapani,3.0,210.0,220.0,2500.0
Parongpong,3.0,300.0,405.0,3100.0
Ciwastra,3.0,45.0,72.0,630.0
Antapani,4.0,248.0,223.0,3300.0
Setiabudi,3.0,325.0,250.0,3300.0
Bandung,4.0,100.0,180.0,2650.0
Turangga,4.0,250.0,177.0,1900.0
Sukapada,4.0,154.0,92.0,1400.0
Bandung,5.0,420.0,405.0,6466.5
Regol,4.0,140.0,88.0,1000.0
Turangga,4.0,100.0,164.0,1500.0
Arjasari,2.0,65.0,72.0,650.0
Cibaduyut,5.0,300.0,158.0,950.0
Soekarno Hatta,7.0,474.5,405.0,6466.5
Bojongloa Kidul,3.0,260.0,160.0,3000.0
Soekarno Hatta,6.0,400.0,374.0,6466.5
Bandung,3.0,140.0,180.0,1250.0
Turangga,3.0,100.0,168.0,1750.0
Gedebage,2.0,89.0,160.0,1200.0
Parongpong,3.0,69.0,99.0,1149.0
Bandung,3.0,171.0,225.0,1700.0
Batununggal,5.0,400.0,300.0,4800.0
Bandung,3.0,185.0,111.0,1750.0
Gedebage,2.0,62.0,90.0,455.0
Pasteur,2.0,250.0,369.0,3400.0
Bandung,3.0,170.0,347.0,3200.0
Isola,3.0,89.0,107.0,1200.0
Batununggal,4.0,325.0,300.0,6466.5
Dago,3.0,100.0,100.0,1850.0
Buahbatu,4.0,340.0,400.0,3500.0
Padalarang,2.0,51.0,60.0,472.0
Pasirjambu,4.0,160.0,405.0,1250.0
Padalarang,2.0,36.0,72.0,325.0
Bandung Wetan,5.0,270.0,120.0,3300.0
Rancamulya,2.0,30.0,50.0,140.0
Turangga,3.0,70.0,126.0,1700.0
Bandung,5.0,294.0,179.0,1300.0
Buahbatu,6.0,260.0,164.0,1950.0
Ngamprah,5.0,160.0,112.0,950.0
Padalarang,2.0,36.0,72.0,327.0
Antapani,7.0,216.0,160.0,1500.0
Dago,2.0,125.0,315.0,3500.0
Jatinangor,7.0,474.5,405.0,4500.0
Rancasari,2.0,60.0,84.0,475.0
Mekarwangi,4.0,230.0,168.0,2650.0
Buahbatu,2.0,60.0,70.0,790.0
Gedebage,3.0,132.0,112.0,3000.0
Andir,2.0,100.0,77.0,1300.0
Bandung Kidul,3.0,150.0,94.0,975.0
Cigadung,2.0,50.0,60.0,525.0
Riau,3.0,200.0,295.0,6466.5
Andir,5.0,250.0,405.0,6466.5
Mekarwangi,4.0,155.0,125.0,2650.0
Cibaduyut,3.0,110.0,140.0,800.0
Mandalajati,3.0,60.0,83.0,1072.0
Sukasari,4.0,290.0,142.0,3300.0
Cigondewah,3.0,155.0,120.0,1350.0
Bandung Kulon,2.0,36.0,62.0,630.0
Cibiru Wetan,2.0,40.0,64.0,375.0
Cisaranten Wetan,2.0,90.0,90.0,850.0
Regol,4.0,160.0,167.0,1450.0
Cilengkrang,2.0,45.0,72.0,535.0
Ciwastra,3.0,45.0,96.0,696.0
Soreang,3.0,47.0,63.0,461.0
Buahbatu,4.0,127.0,126.0,2650.0
Bojongsoang,2.0,80.0,91.0,625.0
Sukapada,4.0,192.0,96.0,1300.0
Cikutra,4.0,200.0,136.0,1350.0
Ngamprah,3.0,50.0,60.0,480.0
Buahbatu,4.0,160.0,167.0,1450.0
Pasteur,3.0,160.0,120.0,2900.0
Pasteur,5.0,120.0,140.0,2200.0
Buahbatu (Margacinta),4.0,190.0,94.0,1400.0
Margasuka,2.0,80.0,111.0,750.0
Bandung,4.0,340.0,405.0,6300.0
Katapang,2.0,36.0,50.0,175.0
Regol,3.0,100.0,80.0,1200.0
Katapang,2.0,36.0,50.0,176.0
Turangga,7.0,175.0,200.0,3200.0
Pasteur,3.0,250.0,104.0,2650.0
Bandung,4.0,102.0,105.0,1370.0
Bandung,3.0,136.0,180.0,3250.0
Parongpong,3.0,130.0,105.0,850.0
Lengkong,4.0,220.0,185.0,1700.0
Regol,4.0,90.0,100.0,1100.0
Bojongloa Kidul,4.0,200.0,152.0,1950.0
Cileunyi Kulon,2.0,30.0,60.0,361.0
Regol,4.0,474.5,405.0,3300.0
Antapani,3.0,100.0,110.0,900.0
Buahbatu (Margacinta),2.0,36.0,60.0,200.0
Buahbatu,3.0,200.0,125.0,650.0
Astana Anyar,3.0,135.0,70.0,1500.0
Garuda,4.0,474.5,405.0,4750.0
Padalarang,5.0,242.0,300.0,3300.0
Bandung,3.0,180.0,204.0,2500.0
Mekarwangi,4.0,155.0,125.0,2350.0
Mekarwangi,3.0,170.0,111.0,2800.0
Gatot Subroto,5.0,120.0,177.0,1000.0
Bandung,3.0,58.0,90.0,1523.0
Sukasari,3.0,70.0,100.0,985.0
Pajajaran,3.0,100.0,218.0,1200.0
Cigondewah,3.0,100.0,114.0,1150.0
Soekarno Hatta,5.0,200.0,120.0,995.0
Buahbatu (Margacinta),3.0,90.0,110.0,850.0
Braga,5.0,474.5,405.0,6466.5
Antapani,7.0,270.0,122.0,2000.0
Bandung,2.0,36.0,60.0,250.0
